#######################################
# TABLE for frame chain distribution  #
#######################################
length	#webpages	webpages
1	25679
https://www.immobilienscout24.KYDuJlpsr2	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/immobilienscout24.de/https:,,www.immobilienscout24.KYDuJlpsr2	99	-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:10_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:10_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:10_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:10_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:4_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/
http://shop.wikidot.commqyT20PRFb	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/wikidot.com/http:,,shop.wikidot.commqyT20PRFb	3	-5:8_http://shop.wikidot.com/-5:3_http://shop.wikidot.com/-5:4_http://shop.wdfiles.com/
https://bbs.ruliweb.com/news/bbJc1fhRxeH	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/ruliweb.com/https:,,bbs.ruliweb.com,news,bbJc1fhRxeH	99	-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/
https://storiesig.com/mnVx9uir0o	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/storiesig.com/https:,,storiesig.com,mnVx9uir0o	99	-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:16_https://googleads.g.doubleclick.net/
https://www.ilovepdf.com/excelKa6rI4wq1Q	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/ilovepdf.com/https:,,www.ilovepdf.com,excelKa6rI4wq1Q	16	-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:5_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:10_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/
https://twitcasting.tv/rankingiQyCm18FsK	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/twitcasting.tv/https:,,twitcasting.tv,rankingiQyCm18FsK	16	-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:5_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:8_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/
https://www.tutorialspoint.comxnZmfUV5rY	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/tutorialspoint.com/https:,,www.tutorialspoint.comxnZmfUV5rY	16	-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:28_https://googleads.g.doubleclick.net/
https://sourceforge.net/ScyeV8aRJ6	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/sourceforge.net/https:,,sourceforge.net,ScyeV8aRJ6	99	-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:5_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/-5:8_https://tpc.googlesyndication.com/-5:9_https://tpc.googlesyndication.com/
http://www.kbs.co.kr/board/boa7uaG06EWhq	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/kbs.co.kr/http:,,www.kbs.co.kr,board,boa7uaG06EWhq	99	-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:8_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:6_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/-5:5_http://ad1.adenc.co.kr/-5:7_http://ad1.adenc.co.kr/
https://pdf2doc.com/Mf9GOKJErc	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/pdf2doc.com/https:,,pdf2doc.com,Mf9GOKJErc	16	-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:12_https://googleads.g.doubleclick.net/-5:15_https://googleads.g.doubleclick.net/-5:24_https://googleads.g.doubleclick.net/
https://www.ency-education.comfuHtxn10Yo	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/ency-education.com/https:,,www.ency-education.comfuHtxn10Yo	16	-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:11_https://googleads.g.doubleclick.net/-5:17_https://googleads.g.doubleclick.net/-5:24_https://googleads.g.doubleclick.net/
https://www.iplaysoft.com/imazKialU0GOdk	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/iplaysoft.com/https:,,www.iplaysoft.com,imazKialU0GOdk	16	-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:6_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:14_https://googleads.g.doubleclick.net/-5:20_https://googleads.g.doubleclick.net/-5:28_https://googleads.g.doubleclick.net/
https://www.geeksforgeeks.org/bdgVusCO65	/home/wluo/workspace/tim-evaluate/url_list/topsitesAlexa/results/geeksforgeeks.org/https:,,www.geeksforgeeks.org,bdgVusCO65	16	-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:7_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:13_https://googleads.g.doubleclick.net/-5:19_https://googleads.g.doubleclick.net/-5:23_https://googleads.g.doubleclick.net/
