RANK,SITE,TYPE_<button,TYPE_<form,TYPE_<input,WORD_card,WORD_credential,WORD_passwd,WORD_password,WORD_privacy,WORD_private,WORD_secret,WORD_security
91,"rakuten.co.jp",0,0,5,2,0,0,0,0,0,0,0,
96,"udemy.com",1,0,2,1,0,0,0,1,0,0,2,
97,"xvideos.com",0,0,5,0,0,0,0,0,0,0,0,
98,"roblox.com",0,0,1,0,0,0,0,0,0,0,0,
104,"nytimes.com",0,0,0,2,0,0,0,1,0,0,0,
105,"1688.com",0,0,1,0,0,0,0,0,0,0,0,
106,"bbc.com",0,0,1,0,0,0,0,0,0,0,0,
107,"xhamster.com",1,1,1,0,1,0,1,1,1,1,0,
114,"bitly.com",1,3,4,1,0,0,0,1,0,0,0,
116,"godaddy.com",2,2,2,2,0,0,0,2,0,0,2,
122,"bankofamerica.com",0,0,0,1,0,0,0,0,0,0,1,
123,"zillow.com",2,1,3,3,0,0,1,1,0,0,0,
129,"daum.net",0,0,2,0,0,0,0,0,0,0,0,
133,"indiatimes.com",0,0,1,5,0,0,0,0,0,0,0,
134,"detik.com",0,0,1,4,0,0,0,0,0,0,0,
140,"wix.com",2,2,2,0,0,0,2,2,0,0,0,
144,"zerodha.com",0,0,1,0,0,0,0,0,0,0,0,
146,"wellsfargo.com",0,0,1,1,0,0,1,0,1,0,0,
147,"line.me",0,0,1,0,0,0,0,0,0,0,0,
155,"bestbuy.com",1,1,1,1,0,0,0,5,0,0,0,
156,"tistory.com",0,0,1,0,0,0,0,0,0,0,0,
162,"americanexpress.com",2,0,0,1,0,0,0,0,0,0,0,
163,"mediafire.com",2,2,5,0,0,0,0,2,0,0,0,
166,"primevideo.com",0,1,1,0,0,0,0,1,0,0,0,
168,"bet9ja.com",0,0,3,1,0,0,0,0,0,0,0,
169,"vimeo.com",0,0,3,1,0,0,3,0,0,0,0,
170,"hdfcbank.com",1,1,1,0,0,0,1,0,0,0,0,
174,"investing.com",0,0,5,6,0,0,0,0,0,0,0,
175,"globo.com",0,0,4,0,0,0,0,0,0,0,0,
177,"etsy.com",0,0,0,1,0,0,0,0,0,0,0,
179,"cnbc.com",0,0,0,5,0,0,5,0,0,0,0,
180,"avito.ru",0,0,1,0,0,0,0,0,0,0,0,
182,"yelp.com",1,0,2,1,0,0,0,1,0,0,0,
183,"cricbuzz.com",0,0,0,1,0,0,0,0,0,0,0,
184,"forbes.com",0,0,0,1,0,0,0,0,0,0,0,
185,"varzesh3.com",0,0,1,0,0,0,0,0,0,0,0,
188,"uol.com.br",2,2,3,7,0,0,0,0,0,0,0,
191,"suara.com",2,2,7,5,0,0,0,0,0,0,0,
194,"wix.com",2,2,2,0,0,0,2,2,0,0,0,
196,"grid.id",3,0,7,4,0,0,0,3,0,0,0,
197,"metropoles.com",3,0,0,3,0,0,0,0,0,1,0,
202,"cnet.com",0,0,0,0,0,0,0,1,0,0,0,
207,"ikea.com",1,1,1,1,0,0,0,0,0,0,0,
209,"businessinsider.com",0,0,0,6,0,0,0,2,1,0,1,
212,"istockphoto.com",1,1,1,1,0,0,0,0,0,0,0,
217,"linktr.ee",1,1,2,2,2,0,0,1,0,0,1,
221,"360.com",0,0,1,0,0,0,0,0,0,0,0,
224,"espncricinfo.com",0,0,2,3,0,0,0,0,0,0,0,
225,"xnxx.com",0,0,2,0,0,0,0,0,0,0,0,
230,"ltn.com.tw",0,0,0,5,0,0,0,0,0,0,0,
232,"moneycontrol.com",0,0,0,3,0,0,0,0,0,0,0,
235,"ndtv.com",1,0,0,4,0,0,0,0,0,0,0,
238,"hootsuite.com",1,1,0,1,0,0,0,1,0,0,0,
239,"slack.com",15,1,0,2,0,0,0,1,0,0,1,
245,"hbomax.com",0,0,0,0,0,0,0,2,0,0,0,
246,"foxnews.com",0,2,4,2,0,0,0,2,0,1,1,
247,"mercari.com",1,0,1,2,0,0,0,1,0,0,0,
252,"ebay.de",0,0,1,0,0,0,0,0,0,0,0,
253,"sahibinden.com",0,0,1,0,0,0,0,0,0,0,0,
254,"manoramaonline.com",0,0,0,4,0,0,0,0,0,0,0,
262,"hp.com",1,1,1,0,0,0,0,2,0,0,0,
263,"tencent.com",0,0,0,1,0,0,0,0,0,0,0,
267,"rt.com",2,2,5,7,0,0,0,3,0,1,0,
269,"blackboard.com",0,1,8,1,0,0,0,1,0,0,1,
272,"aliexpress.ru",0,0,2,0,0,0,0,0,0,0,0,
278,"steamcommunity.com",0,0,5,0,0,0,0,0,0,0,0,
280,"wordpress.org",4,0,0,0,0,0,0,0,0,0,0,
284,"indiamart.com",0,0,1,0,0,0,0,0,0,0,0,
287,"dell.com",3,2,4,2,0,0,0,2,0,0,1,
288,"khtahmar.com",0,0,0,3,0,0,0,0,0,0,0,
290,"nike.com",4,0,8,4,0,0,4,4,0,0,0,
302,"setn.com",0,0,0,7,0,0,0,0,0,0,0,
303,"aol.com",0,0,1,0,0,0,0,0,0,0,0,
305,"focus.cn",0,0,5,0,0,0,0,0,0,1,0,
308,"glassdoor.com",0,0,0,1,0,0,0,0,0,0,0,
309,"lazada.sg",1,1,1,0,0,0,0,1,0,1,1,
310,"freshdesk.com",2,2,7,2,0,0,0,2,0,0,2,
321,"gusuwang.com",0,0,1,0,0,0,0,0,0,0,0,
322,"crowdworks.jp",0,0,0,2,0,0,0,0,0,0,0,
326,"deviantart.com",1,1,1,1,0,0,0,1,0,1,0,
330,"reuters.com",0,0,1,0,0,0,0,0,0,0,0,
333,"albawabhnews.com",1,1,1,0,0,0,0,0,0,0,0,
336,"uchi.ru",0,0,2,0,0,0,0,0,0,0,0,
338,"tripadvisor.com",1,1,1,0,0,0,0,1,0,0,0,
340,"mathrubhumi.com",1,0,0,1,0,0,0,1,0,1,0,
341,"in.gr",1,1,1,0,0,0,0,0,0,0,0,
342,"goodreads.com",0,0,3,9,0,0,0,0,0,0,0,
343,"hamariweb.com",2,2,2,1,0,0,0,2,0,0,0,
345,"seekingalpha.com",0,0,0,1,0,0,0,0,0,0,0,
347,"eatthis.com",0,0,0,2,0,0,0,0,0,0,0,
350,"abs-cbn.com",1,1,1,4,0,0,0,1,0,0,0,
352,"ensonhaber.com",3,3,3,0,0,0,0,0,0,0,0,
360,"marketwatch.com",0,0,0,2,0,0,0,0,0,0,0,
365,"citi.com",0,0,0,1,0,0,0,0,0,0,0,
367,"aliyun.com",0,0,1,0,0,0,0,0,0,0,0,
369,"ameblo.jp",0,0,4,0,0,0,0,0,0,0,0,
370,"trello.com",0,0,1,0,0,0,0,0,0,0,0,
371,"etrade.com",2,0,3,1,0,0,0,1,0,0,1,
372,"trustpilot.com",3,2,2,3,0,0,0,3,0,0,0,
373,"nikkei.com",0,0,0,2,0,0,0,0,0,0,0,
376,"squareup.com",0,0,0,1,0,0,0,0,1,0,0,
377,"nypost.com",0,0,0,1,0,0,0,1,0,0,0,
379,"news18.com",0,0,2,4,0,0,0,0,0,0,0,
383,"inquirer.net",0,0,0,4,0,0,0,0,0,0,0,
384,"breitbart.com",3,3,4,3,0,0,0,3,0,0,3,
385,"goo.ne.jp",0,0,0,1,0,0,0,0,0,0,0,
387,"constantcontact.com",5,3,3,8,4,0,0,5,0,0,0,
388,"rctiplus.com",0,0,0,4,0,0,0,0,0,0,0,
390,"cnnindonesia.com",0,0,0,1,0,0,0,0,0,0,0,
392,"theverge.com",5,5,5,4,0,0,0,5,0,0,5,
393,"it168.com",0,0,4,0,0,0,0,0,0,0,0,
395,"irs.gov",1,1,5,1,0,0,0,1,0,0,1,
396,"fc2.com",2,0,0,0,0,0,0,0,0,0,0,
397,"pipedrive.com",1,1,1,1,0,0,0,1,0,0,0,
399,"eventbrite.com",0,0,1,0,0,0,0,0,0,0,0,
403,"biobiochile.cl",2,2,2,6,0,0,0,0,0,0,0,
404,"wix.com",2,2,2,0,0,0,2,2,0,0,0,
405,"patch.com",0,0,0,0,0,0,0,3,0,0,0,
406,"ebc.net.tw",0,0,0,4,0,0,0,0,0,0,0,
412,"nextdoor.com",0,0,0,1,0,0,0,0,0,0,0,
413,"clickbank.com",2,1,2,2,0,0,0,2,0,0,0,
414,"meesho.com",3,0,3,3,0,0,0,0,0,0,0,
416,"weblio.jp",0,0,4,0,0,0,0,0,0,0,0,
417,"dingtalk.com",0,0,4,0,0,0,0,0,0,0,0,
418,"fool.com",2,0,6,3,0,0,0,3,0,0,0,
419,"teachable.com",1,1,1,0,0,0,0,1,2,0,0,
420,"softonic.com",0,0,0,0,0,0,0,4,0,0,0,
422,"zol.com.cn",0,1,4,0,0,0,0,0,0,0,0,
423,"tabelog.com",0,3,0,3,0,0,0,0,0,0,0,
425,"webmd.com",0,0,4,2,0,0,0,0,0,0,0,
427,"usatoday.com",0,0,0,0,0,0,0,2,0,0,0,
428,"aajtak.in",0,0,0,5,0,0,0,0,0,0,0,
429,"cnbcindonesia.com",0,0,1,0,0,0,0,0,0,0,0,
430,"buzzfeed.com",0,0,0,6,0,0,0,1,0,0,0,
437,"saednews.com",3,3,6,3,0,0,0,0,0,0,0,
438,"rottentomatoes.com",0,0,0,8,0,0,0,4,0,1,0,
440,"hatenablog.com",1,0,0,5,0,0,0,4,0,0,0,
441,"heavy.com",0,0,0,1,0,0,0,0,0,0,0,
442,"tejaratnews.com",0,0,0,6,0,0,0,0,0,0,0,
444,"itmedia.co.jp",0,0,0,4,0,0,0,2,0,0,2,
446,"free.fr",0,0,0,1,0,0,0,0,0,0,0,
450,"apollo.io",3,2,2,3,0,0,0,3,0,0,3,
451,"nicovideo.jp",1,0,0,1,0,0,0,0,0,0,0,
455,"academia.edu",4,4,4,18,0,0,4,4,0,0,0,
457,"douban.com",0,0,4,0,0,0,0,0,0,0,0,
458,"livejournal.com",0,0,5,0,0,0,0,0,0,0,0,
459,"vnexpress.net",0,0,0,8,0,0,0,0,0,0,0,
461,"xbox.com",2,0,2,0,0,0,0,0,0,0,0,
466,"hostgator.com",0,0,0,1,0,0,0,1,0,0,0,
470,"marca.com",0,0,0,6,0,0,0,4,0,0,0,
474,"nba.com",1,1,1,1,0,0,0,1,0,0,1,
475,"vidio.com",0,1,0,0,0,0,0,0,0,0,0,
486,"appsumo.com",0,0,1,0,0,0,1,0,0,0,0,
489,"weebly.com",0,0,1,0,0,0,0,1,0,0,0,
492,"dmm.co.jp",0,0,1,0,0,0,0,0,0,0,0,
495,"idntimes.com",2,0,2,9,0,0,0,0,0,0,0,
497,"qualtrics.com",1,1,1,1,0,0,0,1,0,0,1,
498,"indianexpress.com",0,0,0,5,0,0,0,0,0,0,0,
501,"merriam-webster.com",0,3,3,4,0,0,0,0,0,0,0,
502,"kakaku.com",0,0,2,0,0,0,0,0,0,0,0,
503,"lenovo.com",2,2,2,0,0,0,0,2,0,0,0,
504,"gmarket.co.kr",0,0,3,0,0,0,0,0,0,0,0,
505,"sourceforge.net",0,0,2,0,0,0,0,0,0,0,0,
507,"eksisozluk.com",5,5,5,0,0,0,0,0,0,0,0,
514,"jawapos.com",1,1,1,1,0,0,0,1,0,0,0,
515,"cint.com",0,0,0,0,0,0,0,4,0,0,0,
521,"onesignal.com",0,0,1,0,0,0,0,0,0,0,0,
523,"xe.com",0,0,3,0,0,0,0,0,0,0,0,
526,"ftx.com",1,0,1,1,0,0,0,0,1,0,0,
527,"poki.com",4,0,0,4,0,0,0,4,0,0,0,
528,"hindustantimes.com",3,0,1,7,0,0,2,3,0,1,1,
530,"wordpress.com",0,0,0,1,0,0,0,0,0,0,0,
532,"indiatoday.in",0,0,5,6,0,0,0,0,0,0,3,
533,"104.com.tw",1,0,1,1,0,0,0,0,0,0,0,
538,"kickstarter.com",0,0,0,2,0,0,0,0,0,2,0,
540,"chsi.com.cn",0,0,2,0,0,0,0,0,0,0,0,
543,"rediff.com",0,0,0,5,0,0,0,0,0,0,0,
548,"addthis.com",1,1,1,0,0,0,1,1,0,0,0,
552,"creditkarma.com",1,0,0,0,0,0,0,0,0,0,0,
556,"cbssports.com",10,3,8,10,0,0,1,10,0,0,0,
560,"slickdeals.net",2,2,4,2,0,0,0,1,0,0,1,
561,"asus.com",2,0,2,2,0,0,0,2,0,0,2,
562,"cloudflare.com",1,0,0,1,0,0,0,1,0,0,0,
563,"uptodown.com",0,0,12,6,0,0,0,0,0,0,0,
570,"kuronekoyamato.co.jp",0,0,1,0,0,0,0,0,0,0,0,
571,"iherb.com",4,4,4,1,0,0,1,4,2,0,0,
572,"discogs.com",4,4,8,2,0,0,0,4,0,0,0,
573,"iobit.com",0,0,4,0,0,0,0,0,0,0,0,
575,"rbc.ru",0,0,0,3,0,0,0,0,0,0,0,
576,"india.com",0,0,0,11,0,0,0,0,0,0,0,
580,"chron.com",0,0,0,2,0,0,0,0,0,0,0,
581,"t-online.de",0,0,3,0,0,0,0,0,0,0,0,
587,"liansuo.com",0,0,1,0,0,0,0,0,0,0,0,
594,"olx.pl",1,1,3,0,0,0,1,0,1,0,0,
600,"lentainform.com",1,1,1,0,0,0,0,1,0,0,0,
605,"shiprocket.in",0,3,3,3,0,0,0,3,0,0,0,
606,"zalo.me",0,0,3,0,0,0,0,0,0,0,0,
608,"parsfootball.com",0,1,0,5,0,0,0,0,0,0,0,
609,"www.gov.cn",0,0,1,0,0,0,0,0,0,0,0,
611,"house365.com",0,0,4,0,0,0,0,0,0,0,0,
614,"namecheap.com",2,2,5,2,0,0,2,2,2,0,2,
616,"shippingchina.com",0,0,1,0,0,0,0,0,0,0,0,
617,"go.com",4,2,7,4,0,0,0,0,0,0,0,
618,"livemint.com",0,0,0,3,0,0,0,0,0,0,0,
627,"experian.com",6,4,6,4,0,0,0,4,0,0,4,
630,"biblegateway.com",0,0,0,5,0,0,0,0,0,0,0,
631,"steampowered.com",0,0,5,0,0,0,0,0,0,0,0,
632,"soccer24.com",0,0,1,0,0,0,0,0,0,0,0,
637,"wiley.com",0,0,0,1,0,0,0,1,0,0,0,
639,"elpais.com",0,0,0,0,0,0,0,2,0,0,0,
642,"groww.in",1,0,2,1,0,0,0,1,0,0,1,
647,"labanquepostale.fr",2,1,1,1,0,0,0,2,0,0,0,
649,"mayoclinic.org",0,0,1,0,0,0,0,0,0,0,0,
651,"kontan.co.id",0,0,0,2,0,0,0,0,0,0,0,
656,"dostor.org",2,2,2,2,0,0,0,0,0,0,0,
663,"pixiv.net",0,0,1,0,0,0,0,0,0,0,0,
667,"oeeee.com",0,0,3,0,0,0,0,0,0,0,0,
668,"kemdikbud.go.id",0,0,0,1,0,0,0,0,0,0,0,
671,"dmm.com",0,0,3,1,0,0,0,0,0,0,0,
677,"southcn.com",0,0,7,0,0,0,0,0,0,0,0,
682,"uidai.gov.in",2,2,2,2,0,0,0,2,0,0,2,
684,"bhaskar.com",0,0,0,5,0,0,0,0,0,0,0,
685,"europa.eu",0,0,1,0,0,0,0,5,0,0,0,
688,"bancobai.ao",2,2,2,2,0,0,0,0,0,2,1,
690,"rapidgator.net",0,1,1,0,0,0,1,1,0,0,1,
693,"iweihai.cn",0,0,1,0,0,0,0,0,0,0,0,
695,"people.com",1,1,1,3,0,0,0,1,0,0,0,
702,"prothomalo.com",1,0,1,1,0,0,0,1,0,0,0,
706,"auction.co.kr",1,1,6,0,0,0,0,1,0,0,1,
708,"livedoor.com",0,0,1,0,0,0,0,0,0,0,0,
709,"hsbc.com.hk",4,0,0,7,0,0,0,1,1,0,1,
710,"statista.com",5,5,5,5,0,0,0,5,0,0,1,
713,"genpi.co",3,3,8,3,0,0,0,3,0,0,0,
716,"lazada.co.th",1,1,1,0,0,0,0,0,0,0,1,
727,"worksmobile.com",1,0,0,0,0,0,0,0,0,0,0,
732,"basketball24.com",0,0,1,0,0,0,0,0,0,0,0,
733,"www.gov.br",2,2,2,2,0,0,0,2,0,2,0,
736,"mi.com",0,1,1,0,0,0,0,1,0,0,1,
740,"hh.ru",0,0,1,0,0,0,0,0,0,0,0,
746,"codecanyon.net",1,1,1,1,0,0,0,1,0,0,0,
752,"mit.edu",0,0,1,0,0,0,0,0,0,0,0,
753,"sarkariresult.com",0,0,0,3,0,0,0,0,0,0,0,
755,"kp.ru",0,0,1,0,0,0,0,0,0,0,0,
760,"cisco.com",1,1,1,1,0,0,0,1,0,0,1,
761,"semrush.com",0,0,0,1,0,0,0,0,0,0,0,
765,"stocktwits.com",0,0,0,10,0,0,0,0,0,0,0,
766,"olx.ua",1,1,5,0,0,0,1,1,1,0,0,
768,"sbisec.co.jp",0,0,3,0,0,0,0,0,0,0,0,
773,"milliyet.com.tr",2,0,2,3,0,0,0,0,0,0,0,
774,"dcinside.com",0,0,0,4,0,0,0,0,0,0,0,
779,"wish.com",0,0,0,1,0,0,0,0,0,0,0,
781,"thingiverse.com",0,0,1,0,0,0,0,0,0,0,0,
786,"warriorplus.com",1,0,0,0,0,0,0,0,0,0,0,
788,"people.com.cn",0,1,3,0,0,0,0,0,0,0,0,
789,"nhl.com",0,0,1,3,0,0,0,0,0,0,0,
791,"thepaper.cn",0,0,4,0,0,0,0,0,0,0,0,
793,"star-clicks.com",0,3,2,2,0,0,0,0,0,0,0,
794,"interia.pl",0,0,3,0,0,0,0,0,0,0,0,
795,"cyol.com",0,0,2,0,0,0,0,0,0,0,0,
796,"shopify.com",3,3,3,3,0,0,3,3,0,0,0,
800,"lifo.gr",0,0,0,3,0,0,0,0,0,0,0,
801,"processon.com",0,2,2,0,0,0,2,0,0,0,0,
802,"crazyegg.com",3,3,3,3,0,0,0,3,0,0,0,
805,"jocial.com",1,0,2,1,0,0,1,2,0,0,1,
806,"flashscore.com",0,0,1,0,0,0,0,0,0,0,0,
807,"nbcnews.com",0,0,0,5,0,0,0,0,0,0,0,
809,"sportbible.com",0,0,0,1,0,0,0,0,0,0,0,
810,"ssa.gov",0,1,2,0,0,0,0,0,0,0,0,
811,"ebrun.com",0,0,5,0,0,0,0,0,0,0,0,
812,"ezgif.com",0,0,0,1,0,0,0,0,0,0,0,
814,"disqus.com",0,0,0,1,0,0,0,0,0,0,0,
821,"zdf.de",1,2,1,1,0,0,2,1,0,0,0,
822,"thegatewaypundit.com",0,0,0,2,0,0,0,2,0,0,2,
828,"qafqazinfo.az",2,2,2,2,0,0,0,0,0,0,0,
829,"t-mobile.com",0,0,0,3,0,0,0,2,0,0,0,
832,"xjtu.edu.cn",0,0,1,0,0,0,0,0,0,0,0,
836,"ncrangola.com",3,3,3,0,0,0,0,0,0,3,0,
839,"upstox.com",4,3,5,4,1,0,1,3,0,0,3,
841,"asahi.com",1,0,0,0,0,0,0,0,0,0,0,
842,"auth0.com",1,0,1,1,1,0,1,1,1,0,1,
845,"elmundo.es",0,0,0,4,0,0,0,2,0,1,0,
850,"ameba.jp",0,0,1,0,1,0,0,0,0,0,0,
851,"iliangcang.com",0,0,5,0,0,0,0,0,0,0,0,
853,"52pk.com",0,0,7,0,0,0,0,0,0,0,0,
855,"as.com",1,1,1,2,0,0,0,2,0,0,0,
857,"anjuke.com",0,0,3,0,0,0,0,0,0,0,0,
858,"nature.com",1,1,4,2,0,0,0,3,0,0,0,
860,"eluniverso.com",2,5,2,2,0,0,0,0,0,0,0,
861,"znds.com",0,0,1,0,0,0,0,0,0,0,0,
862,"mailerlite.com",1,1,6,1,0,0,0,1,0,0,0,
863,"thethao247.vn",0,0,0,1,0,0,0,0,0,0,0,
864,"playstation.com",1,0,1,0,0,0,0,1,0,0,0,
867,"exoclick.com",1,1,1,0,1,0,1,1,0,0,0,
870,"free.fr",0,0,0,1,0,0,0,0,0,0,0,
873,"neshanonline.com",1,1,1,0,0,0,0,0,0,0,0,
877,"usaa.com",0,0,0,1,0,0,0,0,0,0,0,
879,"depositphotos.com",0,0,1,1,0,0,0,0,0,0,0,
881,"a8.net",0,0,1,0,0,0,0,0,0,0,0,
883,"aweber.com",2,2,2,2,0,0,0,2,0,0,0,
886,"asmag.com.cn",0,0,5,0,0,0,0,1,0,0,1,
888,"goldcarpet.cn",0,0,1,0,0,0,0,0,0,0,0,
892,"gmw.cn",0,0,10,0,0,0,0,0,0,0,0,
895,"eenadu.net",0,0,5,1,0,0,0,0,0,0,0,
898,"uol.com.br",2,2,3,7,0,0,0,0,0,0,0,
899,"hatena.ne.jp",1,1,1,0,0,0,1,1,1,0,0,
901,"convertkit.com",2,2,1,2,0,0,0,2,0,0,0,
903,"howtogeek.com",0,0,0,4,0,0,0,1,0,0,3,
905,"uscis.gov",4,4,8,8,0,0,0,8,0,2,4,
906,"quip.com",3,3,5,3,0,0,0,5,5,2,5,
913,"informer.com",0,0,2,0,0,0,0,0,0,0,0,
914,"sendgrid.com",1,0,0,1,0,0,0,1,0,0,1,
918,"haberler.com",0,0,0,1,0,0,0,0,0,0,0,
922,"tirto.id",4,0,4,18,0,0,0,0,0,0,0,
929,"dream.co.id",0,0,5,8,0,0,0,0,0,0,0,
931,"donga.com",0,0,5,0,0,0,0,0,0,0,0,
936,"loupan.com",0,0,9,0,0,0,0,0,0,0,0,
937,"cengage.com",5,5,10,0,0,0,0,5,0,0,0,
939,"yumpu.com",1,1,2,0,0,0,2,2,0,0,0,
940,"repubblica.it",0,0,0,3,0,0,0,0,0,0,0,
941,"latimes.com",1,1,6,4,1,0,0,1,0,0,0,
944,"vecteezy.com",0,0,0,5,0,0,0,7,0,0,0,
946,"jagran.com",1,3,4,9,0,0,0,3,0,0,0,
949,"nownews.com",4,2,4,4,0,0,0,4,0,0,0,
954,"telugustop.com",0,0,0,2,0,0,0,0,0,0,0,
959,"modesens.com",1,0,1,1,0,0,0,1,0,0,1,
964,"brilio.net",0,0,0,8,0,0,0,0,0,0,0,
966,"majestic.com",1,1,1,6,0,0,0,1,0,0,0,
969,"ojooo.com",4,3,9,0,0,0,0,0,0,0,0,
971,"aruba.it",1,1,1,0,0,0,0,1,1,0,0,
973,"jio.com",0,0,3,0,0,0,0,0,0,0,0,
975,"trulia.com",1,1,1,0,0,0,0,1,0,1,0,
980,"readmanganato.com",0,0,1,0,0,0,0,0,0,0,0,
983,"ecosia.org",0,0,0,0,0,0,0,1,0,0,0,
984,"getintopc.com",0,0,8,0,0,0,0,4,0,0,0,
987,"ahrefs.com",4,1,0,1,0,0,0,1,0,0,0,
991,"huawei.com",1,0,1,1,0,0,0,1,0,0,0,
992,"huya.com",0,0,3,0,0,0,0,0,0,0,0,
995,"banggood.com",0,0,2,0,0,0,0,0,0,0,0,
997,"inews.id",0,0,0,9,0,0,0,0,0,0,0,
999,"figma.com",2,2,2,0,0,0,2,2,0,0,0,
1000,"bedbathandbeyond.com",0,0,1,0,0,0,0,0,0,0,0,
